"surface","prov","n"
"WHITELAW","AB",54
"TSUSSIE 6","BC",54
"UNION CENTRE","NS",54
"LUMSDEN DAM","NS",54
"LACONIA","NS",54
"POPLAR GROVE","PE",54
"STONE 1","BC",54
"CEDAR VALLEY","ON",54
"KENDAL","SK",54
"EARLTOWN","NS",53
"TAKLA LANDING","BC",53
"SAINT-MARTIN-DE-RESTIGOUCHE","NB",53
"ROSEAU RIVER","MB",53
"MARBLE MOUNTAIN","NS",53
"SOURIS LINE ROAD","PE",53
"SALEM","NB",53
"MARIAPOLIS","MB",53
"ALLISTON","PE",53
"SCOTCH RIDGE","NB",53
"BIRDTON","NB",53
"ST BRIDES","AB",53
"MARKINCH","SK",53
"SPEDDEN","AB",53
"DUART","ON",53
"CEDARVALE","BC",53
"SPENCERS ISLAND","NS",53
"NEW SCOTLAND","NB",53
"RUSSELLVILLE","NB",53
"HEAD OF MONTAGUE","PE",53
"SOUTH LOCHABER","NS",53
"COLDSTREAM","NB",53
"NORTH KEMPTVILLE","NS",53
"UPPER CANARD","NS",53
"FIVE HOUSES","NS",53
"MIDDLE PORTERS LAKE","NS",53
"ST CROIX","NB",53
"SPA SPRINGS","NS",53
"HORWOOD","NL",53
"LANGRUTH","MB",53
"BIG BEACH","NS",53
"RED RAPIDS","NB",53
"LAKE ST PETER","ON",53
"HARROGATE","BC",53
"CLOVA","QC",52
"QATHET E","BC",52
"WALLACE STATION","NS",52
"BINCHE 2","BC",52
"DIVISION NO.  1, SUBD. N","NL",52
"DIVISION NO.  8, SUBD. I","NL",52
"CLAM HARBOUR","NS",52
"BATTLE RIVER NO. 438","SK",52
"HAREWOOD","NB",52
"NORTH SPIRIT LAKE","ON",52
"SEINE RIVER 23A","ON",52
"MISTUSINNE","SK",52
"RENAUDS MILLS","NB",52
"PETIT ETANG","NS",52
"DEEP CREEK 2","BC",52
"MCAULEY","MB",52
"ROWENA","NB",52
"TIMBER RIVER","NB",52
"BIG RIDGE","NS",52
"KELLEYS COVE","NS",52
"TLAA GAA AAWTLAAS 28","BC",52
"MORRISVILLE","NL",52
"FORT NELSON 2","BC",52
"MOUNT PLEASANT","NB",52
"DOUGLAS LAKE","BC",52
"SEYMOUR ARM","BC",52
"WENTWORTH CREEK","NS",52
"MALAGASH","NS",52
"WEAVER","NB",52
"BEAVERDAM LAKE","NS",52
"TORCH RIVER NO. 488","SK",52
"MANGANESE MINES","NS",52
"HARBOUR MAIN","NL",52
"BEAUMONT","NL",52
"WALTERS FALLS","ON",52
"HILLTOWN","NS",52
"ST ANTHONY EAST","NL",52
"LIMESTONE","NB",52
"EAST BACCARO","NS",52
"MEETING CREEK","AB",51
"MAIN BROOK","NL",51
"PETERS ROAD","PE",51
"COLLINA","NB",51
"ROSE VALLEY","PE",51
"MIDDLE OHIO","NS",51
"ST. PATRICKS","PE",51
"SAINT-JOGUES","QC",51
"ST VINCENT","AB",51
"WAPSKE","NB",51
"BUICK","BC",51
"UPPER LETANG","NB",51
"RIVERSIDE","NS",51
"BELLBURNS","NL",51
"KOMARNO","MB",51
"HOWARD BROOK","NB",51
"NORTH HARBOUR PB","NL",51
"WALLACE BAY","NS",51
"ROSENFELD","MB",51
"ROUND ISLAND","NS",51
"EASTVILLE","NS",51
"GREENHILL LAKE","NB",51
"BIG COVE QUEENS CO","NB",51
"BILLTOWN","NS",51
"MCGRATHS COVE","NS",51
"CAITHNESS","NB",51
"BOYNE LAKE","AB",51
"CHEADLE","AB",51
"BUCK CREEK","AB",51
"ROCKPORT","ON",51
"L'ALVERNE","QC",51
"PABINEAU FALLS","NB",51
"DESMARAISVILLE","QC",51
"ADVOCATE HARBOUR","NS",51
"TA TA CREEK","BC",51
"DUNCANS COVE","NS",51
"WETASKIWIN COUNTY","AB",51
"NEWCASTLE CENTRE","NB",51
"LITTLE BAY NDB","NL",51
"HALIBUT BAY","NS",51
"FAIRLIGHT","SK",50
"GROUARD","AB",50
"GRANDVIEW BEACH","SK",50
"CORBERRIE","NS",50
"ST. JOSEPH","NS",50
"CROSSMOUNT","SK",50
"PRINCESS PARK","NB",50
"BELLEISLE","NS",50
"BEAVER RIVER NO. 622","SK",50
"DEL BONITA","AB",50
"WILLOW CREEK NO. 458","SK",50
"SWITSEMALPH 3","BC",50
"FOREST GLEN","NB",50
"HILLIARD","AB",50
"HAWKINS CORNER","NB",50
"SAINT-FAUSTIN-LAC-CARRE","QC",50
"NORTH THOMPSON 1","BC",50
"FENWOOD","SK",50
"WHITES BROOK","NB",50
"JERSEYSIDE","NL",50
"STYMIEST","NB",50
"UPPER LEITCHES CREEK","NS",50
"ELMWORTH","AB",50
"EAST NOEL","NS",50
"CLOVERDALE","NB",50
"TOBACCO PLAINS 2","BC",50
"PRINCE OF WALES","NB",50
"SASMAN NO. 336","SK",50
"MIRROR","AB",50
"DIVISION NO.  9, SUBD. D","NL",50
"BEARDMORE","ON",49
"NORTHS CORNER","NS",49
"FORT MCMURRAY 468 FIRST NATION","AB",49
"MAXIMEVILLE","PE",49
"ROUTHIERVILLE","QC",49
"SPUZZUM","BC",49
"CAPE SPEAR","NB",49
"SHENACADIE","NS",49
"SUNNYSIDE BEACH","NB",49
"THE FALLS","NS",49
"ENON","NS",49
"UPSALA","ON",49
"FRENCH VILLAGE KINGS CO","NB",49
"CHELMSFORD","NB",49
"ENDEAVOUR","SK",49
"DELAPS COVE","NS",49
"BICKERTON WEST","NS",49
"FOREST HILL","PE",49
"STEWART VALLEY","SK",49
"PISQUID EAST","PE",49
"PATUANAK","SK",49
"PISQUID WEST","PE",49
"PROGRESS","BC",49
"PINEVILLE","NB",49
"ROSSVILLE","NB",49
"PLEASANT POINT","NS",49
"HALF ISLAND COVE","NS",48
"BROWNLEE","SK",48
"DUNDAS","NB",48
"BLAKETOWN","NL",48
"DISLEY","SK",48
"ST. MARGARETS","PE",48
"MORELL EAST","PE",48
"LITTLE HARBOUR","PE",48
"LEWIS MOUNTAIN","NB",48
"LAC-MATAWIN","QC",48
"LORD'S COVE","NL",48
"PETITCODIAC EAST","NB",48
"CROSS ROADS OHIO","NS",48
"HAY","ON",48
"MILBURN","PE",48
"SALMON RIVER ROAD","NB",48
"LA COREY","AB",48
"TATLA LAKE","BC",48
"HEATHERDALE","PE",48
"SUNDRIDGE","NS",48
"BOUCTOUCHE RESERVE","NB",48
"MOUNT HOPE","NB",48
"SANDY BAY","SK",48
"EGMONT","BC",48
"KOOCANUSA - WEST","BC",48
"POODIAC","NB",48
"SCOTCH CREEK 4","BC",48
"JEAN COTE","AB",48
"BONAPARTE 3","BC",48
"PEREAU","NS",48
"L'ARDOISE","NS",47
"CROSS ROADS","NS",47
"NEWTONVILLE","NS",47
"OSTERWICK","MB",47
"PEARSONVILLE","NB",47
"SOUTH WATERVILLE","NS",47
"BRUCE","AB",47
"EAST BRIGHTON","NB",47
"WOODLAWN","NS",47
"CARON","SK",47
"TORBROOK WEST","NS",47
"CRANFORD","AB",47
"JOHNSTON POINT","NB",47
"SAINTE-THERESE SUD","NB",47
"HOWARD","NB",47
"ORANGE HILL","NB",47
"SHELDRAKE","QC",47
"EEL RIVER LAKE","NB",47
"MCLEOD LAKE","BC",47
"ROLLA","BC",47
"HOLMFIELD","MB",47
"WYSES CORNER","NS",47
"RUMSEY","AB",47
"FOLEYET","ON",47
"WEST TATAMAGOUCHE","NS",47
"ST DAVID RIDGE","NB",47
"WEYMOUTH FALLS","NS",47
"KEMPT ROAD","NS",47
"HOPE RIVER","PE",47
"PEEL","NB",47
"WELLINGTON CENTRE","PE",47
"LONG POINT","NB",47
"EAST LEICESTER","NS",47
"PEGGYS COVE","NS",47
"LONE PINE","AB",47
"WESTWOOD","ON",47
"YELLOW CREEK","SK",47
"ANGEVINE LAKE","NS",47
"TURIN","AB",47
"HAZEL GROVE","PE",47
"SAMPSONS COVE","NS",46
"FOUR CORNERS","NB",46
"NORTH QU'APPELLE NO. 187","SK",46
"RIVERHEAD HARBOUR GRACE","NL",46
"SHEPODY ALBERT CO","NB",46
"UPPERTON","NB",46
"CENTRAL NEW ANNAN","NS",46
"PRIDDIS","AB",46
"GARDEN VILLAGE","ON",46
"RAINIER","AB",46
"ROUND HILL NO. 467","SK",46
"BONNYVILLE BEACH","AB",46
"BLADWORTH","SK",46
"DARLINGFORD","MB",46
"ELLIOTVALE","PE",46
"CULLODEN","NS",46
"BRYENTON","NB",46
"DESMARAIS","AB",46
"KEJICK","ON",46
"STAUFFER","AB",46
"GLEN ROAD","NS",46
"MD OF GREENVIEW","AB",46
"ELMWOOD","NB",46
"LAC-MATAPEDIA","QC",46
"BOULTER","ON",46
"WALLACE BRIDGE","NS",46
"SOUTH OROMOCTO LAKE","NB",46
"BIGNEY","NS",46
"BIRD'S POINT","SK",46
"ROSSPORT","ON",46
"PROSSER BROOK","NB",46
"NAPPAN","NS",46
"MOOSE MOUNTAIN","NB",46
"EABAMET LAKE","ON",46
"EAST PORT MEDWAY","NS",46
"PRAIRIE GROVE","MB",45
"BARROWS","MB",45
"GLADWYN","NB",45
"CRAIG FLATS","NB",45
"CAPSTICK","NS",45
"WALDECK","NS",45
"SNOW ROAD STATION","ON",45
"GREENS HARBOUR","NL",45
"CORMAC","ON",45
"WANIPIGOW","MB",45
"LONG CREEK","NB",45
"NEW HORTON","NB",45
"WALDEGRAVE","NS",45
"MOSHERVILLE","NS",45
"HAY SETTLEMENT","NB",45
"NEW ENGLAND SETTLEMENT","NB",45
"CENTRAL WATERVILLE","NB",45
"FORDS MILLS","NB",45
"PARKINDALE","NB",45
"LOWER LAHAVE","NS",45
"MANCHE-D'EPEE","QC",45
"LAKEVILLE","PE",45
"SUNNYBROOK","NS",45
"ST. TERESA","PE",45
"GEORGEVILLE","NS",45
"ERICKSON","BC",45
"DUGAS","NB",45
"HASSETT","NS",45
"LONDONDERRY STATION","NS",45
"POMEROY RIDGE","NB",45
"SPEERS","SK",45
"IRISHVALE","NS",45
"PERRYVALE","AB",45
"CURRYVILLE","NB",44
"ST ANDREWS CHANNEL","NS",44
"SYPHER COVE","NB",44
"INTERVALE","NB",44
"BRIGUS JUNCTION","NL",44
"DOG HEAD 218","AB",44
"GRAND NARROWS","NS",44
"POLE HILL","NB",44
"SUSSEX EAST","NB",44
"LAKE LA ROSE","NS",44
"NOEL SHORE","NS",44
"SUMMERVILLE","PE",44
"BARNEYS RIVER STATION","NS",44
"ROSEWAY","NS",44
"LEASK NO. 464","SK",44
"TAYLORS ROAD","NS",44
"BEECHMONT","NS",44
"MCKINLEYVILLE","NB",44
"IRONDALE","ON",44
"KEENANS","NB",44
"VASSAR","MB",44
"HAMPSTEAD","NB",44
"GLEN EWEN","SK",44
"ST VINCENTS","NL",44
"FORK RIVER","MB",44
"SOUTH LAKE","PE",44
"UPPER BRIGHTON","NB",44
"BLOOMINGTON","NS",44
"WALSH","AB",44
"NORTH BAY 5","BC",44
"SEA SIDE","NB",44
"WAYERTON","NB",44
"CHAPUT HUGHES","ON",44
"SPENCES BRIDGE","BC",44
"MASCARENE","NB",44
"CAPE RAY","NL",44
"BABINE 6","BC",44
"CAP-AU-RENARD","QC",44
"SPERLING","MB",44
"GRANTON","NS",44
"LINTON CORNER","NB",44
"ALLAIN CREEK","NS",44
"BENJAMIN RIVER","NB",44
"SOUTH FREETOWN","PE",44
"POINT ALISON","AB",44
"CLARKSVILLE","NS",43
"REIDS HILL","NS",43
"AHOUSAT","BC",43
"UPSALQUITCH","NB",43
"FOSSTON","SK",43
"GARDNERS MILLS","NS",43
"FREE GRANT","NB",43
"HANCEVILLE","BC",43
"PENNANT STATION","SK",43
"LINDSAY","NB",43
"WUHRS BEACH","NB",43
"SANDFIELD","NS",43
"FRENCH VILLAGE","NS",43
"SAND POINT","NS",43
"SPRINGFORD","ON",43
"KIERSTEAD MOUNTAIN","NB",43
"SWIFT CURRENT","NL",43
"GLENWOOD","NS",43
"UPPER KINTORE","NB",43
"GIFT LAKE","AB",43
"PAYS PLAT","ON",43
"KILLAMS MILLS","NB",43
"ROBB","AB",43
"HALFWAY COVE","NS",43
"NICTAUX SOUTH","NS",43
"SOUTH BRANCH KENT CO","NB",43
"DOCTORS BROOK","NS",43
"FREDERICKTON","NL",42
"GYPSUM MINES","NS",42
"LIMEKILN","NB",42
"GRAVEL HILL","NB",42
"COUNTY OF BRANT","ON",42
"POPLAR BAY","AB",42
"THREE TREE CREEK","NB",42
"PARKER RIDGE","NB",42
"CASSIDY LAKE","NB",42
"CAVENDISH","NL",42
"HARTFIELD","NB",42
"CLAYTON NO. 333","SK",42
"ST. PETER NO. 369","SK",42
"LONE ROCK","SK",42
"DUNREA","MB",42
"AROLAND","ON",42
"WESTPORT","NS",42
"SPLIT LAKE","MB",42
"WHITEDOG","ON",42
"OLIVER","NS",42
"TOUTES AIDES","MB",42
"WHITES CORNER","NS",42
"FOX HARBOUR PB","NL",42
"GLENWOOD KINGS CO","NB",42
"KOPCHITCHIN 2","BC",42
"MEADOWVILLE","NS",42
"GREENVILLE","NS",42
"POINTE-SAUVAGE","NB",42
"DENMARK","NS",42
"PARLEE BROOK","NB",42
"OPASKWAYAK CREE NATION 21A","MB",42
"MONTE LAKE","BC",42
"HILLANDALE","NB",42
"TRINITY TB","NL",42
"WHISPERING PINES 4","BC",42
"BALTIC","PE",42
"TSA XANA 18","BC",42
"WEE TOO BEACH","SK",42
"MAPLEHURST","NB",41
"WATERSIDE","PE",41
"LINDALE","AB",41
"ST JOSEPH","NS",41
"CLIFTON","NS",41
"RICEVILLE","NB",41
"GLENCOE","NS",41
"ST GREGOR","SK",41
"NORTH EAST POINT","NS",41
"STONECLIFFE","ON",41
"LOCKSTEAD","NB",41
"RED POINT","NS",41
"INDIAN BAY BB","NL",41
"SOLDIERS COVE","NS",41
"BURNTLAND BROOK","NB",41
"BERWICK WEST","NS",41
"CANAAN STATION","NB",41
"LOWER HAINESVILLE","NB",41
"NEUENBERG","MB",41
"COACHMANS COVE","NL",41
"TANNERS SETTLEMENT","NS",41
"LAMBERT'S COVE","NB",41
"PORQUIS JUNCTION","ON",41
"HAZENMORE","SK",41
"LESTOCK","SK",41
"ARMENA","AB",41
"WINCHESTER SPRINGS","ON",41
"NEW CANADA","NS",41
"BEAVER CREEK","SK",41
"BEAUVALLON","AB",41
"WEST BACCARO","NS",41
"DEERVILLE","NB",41
"GOODEVE","SK",41
"HILLSDALE","NB",41
"YALE","BC",40
"JOLICURE","NB",40
"LIVINGSTONE COVE","NS",40
"BARTER SETTLEMENT","NB",40
"STANCHEL","PE",40
"THE POINTS WEST BAY","NS",40
"EAST RIVER ST. MARYS","NS",40
"PRICEVILLE","NB",40
"MILLVALE","PE",40
"FOREST HOME","NS",40
"PURLBROOK","NS",40
"MINNITAKI","ON",40
"ROCKY POINT 3","PE",40
"RED ISLANDS","NS",40
"FOURCHU","NS",40
"KENZIEVILLE","NS",40
"ROSEHILL","NB",40
"STONEHURST SOUTH","NS",40
"SPRINGSTEIN","MB",40
"SKEETCHESTN","BC",40
"RENNIES ROAD","PE",40
"MCLAUGHLIN","NB",40
"ALTARIO","AB",40
"WESLEYVILLE","NL",40
"SOUTHEND 200","SK",40
"NEW CAMPBELLTON","NS",40
"MONTEITH","ON",40
"BROOKVALE","NS",40
"STEEP ROCK","MB",40
"TANCOOK ISLAND","NS",40
"BRISTOL","PE",40
"SACHIGO LAKE","ON",40
"LOWER CAPE","NB",40
"CLEARVIEW","NB",40
"BEECH HILL","NS",40
"NORTH WEST ARM","NS",40
"TELEGRAPH COVE","BC",40
"BROAD VALLEY","MB",40
"TIZZARDS HARBOUR","NL",40
"GUY","AB",40
"MADSEN","ON",40
"PEAKES","PE",40
"NORTH SALEM","NS",40
"CAMDEN","NS",40
"HONEYDALE","NB",40
"UPPER LOCH LOMOND","NB",40
"UPPER OHIO","NS",39
"HODGES COVE","NL",39
"LITTLE LORRAINE","NS",39
"CONNELL","NB",39
"TEEDS MILLS","NB",39
"BEAR RIVER S","PE",39
"MENNEVAL","NB",39
"BAS-PAQUETVILLE","NB",39
"RIDING MOUNTAIN","MB",39
"URANIUM CITY","SK",39
"UPPER KNOXFORD","NB",39
"FRENCH RIVER","PE",39
"FREDERICTON","PE",39
"CONCHE","NL",39
"MONTROSE","NS",39
"MANN'S MOUNTAIN","NB",39
"SPRINGDALE","NB",39
"LOWER ST MARYS","NB",39
"RENNIE","MB",39
"WATERFORD","NS",39
"PEMBROKE","PE",39
"LOWER SELMA","NS",39
"SKOOKUMCHUCK","BC",39
"STONEHAVEN","NB",39
"DUNBLANE","PE",39
"NORTH EAST HARBOUR","NS",39
"WATERSIDE","NB",39
"NORTH RIVERSIDE","NS",39
"MCKENZIE CORNER","NB",39
"CANADA CREEK","NS",39
"ELPHINSTONE","MB",39
"PRIEST POND","PE",39
"ALHAMBRA","AB",39
"HAWKESVILLE","ON",39
"CRANE RIVER","MB",39
"WARDS BROOK","NS",39
"LYNNFIELD","NB",39
"ANTIGONISH HARBOUR","NS",38
"WESTBOURNE","MB",38
"PEBBLE BAYE","SK",38
"VILLAGE GREEN","PE",38
"RUISSEAU-A-REBOURS","QC",38
"MIRY CREEK NO. 229","SK",38
"HAVELOCK","NS",38
"QUINTON","SK",38
"SEVOGLE","NB",38
"FIVE MILE RIVER","NS",38
"WILDCAT 12","NS",38
"FLAXCOMBE","SK",38
"CHILANKO FORKS","BC",38
"COMMERCIAL CROSS","PE",38
"VAL COTE","ON",38
"SUNNYNOOK","AB",38
"WHITE GULL","AB",38
"BALLANTYNES COVE","NS",38
"BENSON","SK",38
"DIVISION NO. 10, SUBD. D","NL",38
"RED HARBOUR PB","NL",38
"SMALL POINT-ADAM'S COVE-BLACKHEAD-BROAD COVE","NL",38
"OTTER BROOK","NS",38
"LYNCHE RIVER","NS",38
"EAST EARLTOWN","NS",38
"BENGOUGH NO. 40","SK",38
"OCEAN FALLS","BC",38
"RIVER HEBERT EAST","NS",38
"CONWAY","PE",38
"ST. SHOTT'S","NL",38
"HAYESVILLE","NB",38
"GOODLOW","BC",38
"NESKANTAGA","ON",38
"BAYVIEW","PE",38
"LOWER CAMBRIDGE","NB",38
"EAST COULEE","AB",38
"CAT LAKE 63C","ON",38
"WEST SPRINGHILL","NS",38
"SKYE GLEN","NS",37
"WEEKES","SK",37
"KEEWAYWIN","ON",37
"COAL BRANCH","NB",37
"PINEVALE","NS",37
"IRISHTOWN","PE",37
"ST BRIDES","NL",37
"OWLS HEAD","NS",37
"ENGLISH SETTLEMENT","NB",37
"ST ALMO","NB",37
"ALIDA","SK",37
"BANGOR","PE",37
"ARGENTA","BC",37
"AMHERST POINT","NS",37
"CAPE GEORGE POINT","NS",37
"LAKE EDWARD","NB",37
"POLLETT RIVER","NB",37
"BUNBURY","PE",37
"AVOLA","BC",37
"LITCHFIELD","NS",37
"UPPER KESWICK","NB",37
"ST-TIMOTHEE","PE",37
"SMITHS SETTLEMENT","NS",37
"LORNEVALE","NS",37
"BARR SETTLEMENT","NS",37
"IRISH COVE","NS",37
"KINSELLA","AB",37
"UPPER WASHABUCK","NS",37
"WALKERVILLE","NS",37
"CAPE DAUPHIN","NS",37
"LITTLE RIVER GLOUCESTER CO","NB",37
"ST-GILBERT","PE",37
"SELDOM","NL",37
"WEST PUGWASH","NS",36
"TWIN BUTTE","AB",36
"ROSEMOUNT NO. 378","SK",36
"PANSY","MB",36
"DIVISION NO.  7, SUBD. A","NL",36
"FORGET","SK",36
"NORTH WEST HARBOUR","NS",36
"VIEWMOUNT","NS",36
"MOBILE","NL",36
"MOUNTAIN ROAD","NS",36
"HEATHBELL","NS",36
"HAZELTON","NB",36
"ASHNOLA 10","BC",36
"WOODLANDS","NB",36
"BENNETT BAY","NS",36
"SODA CREEK 1","BC",36
"WEYBURN NO. 67","SK",36
"PARKERS COVE","NL",36
"MALAGASH MINE","NS",36
"LOVE","SK",36
"ELMIRA","PE",36
"NEQUATQUE","BC",36
"CHAPMAN SETTLEMENT","NS",36
"LITTLE BARTIBOG","NB",36
"HBMTWP","ON",36
"KIRKLAND","NB",36
"MANIGOTAGAN","MB",36
"EAST NEWBRIDGE","NB",36
"BEAVER MEADOW","NS",36
"ROBINSON CORNER","NS",36
"VEINERVILLE","AB",36
"EVERGREEN","NB",36
"CALVERT","NL",36
"KYUQUOT","BC",36
"MINE CENTRE","ON",36
"AUBURN","PE",36
"WEST GLENMONT","NS",36
"GREEN HILL","NB",36
"FLOWERS COVE","NB",36
"SAINTE-DOROTHEE","QC",36
"GINOOGAMING FIRST NATION","ON",36
"POINT OF BAY","NL",36
"WESTON","NS",36
"KINCAID","SK",36
"PEAWANUCK","ON",36
"AVONDALE","NB",36
"ST CATHERINES","PE",36
"WINTER HARBOUR","BC",36
"PAVILION 1","BC",36
"NEW TUSKET","NS",36
"KITIMAT-STIKINE A","BC",36
"ST MICHAEL","AB",36
"ROLLO BAY W","PE",36
"PUGWASH RIVER","NS",36
"NEWMANS COVE","NL",36
"NORTH ENMORE","PE",36
"LAKELANDS","NS",36
"DIVISION NO. 20, UNORGANIZED, NORTH PART","MB",36
"EAST BRAINTREE","MB",35
"NELSON HOLLOW","NB",35
"SISSON BROOK","NB",35
"BLOMIDON","NS",35
"GOLDEN VALLEY","ON",35
"JENNER","AB",35
"MELVILLE","PE",35
"RIO GRANDE","NB",35
"WEBSTERS CORNER","PE",35
"CARIBOU","NS",35
"NAMAKA","AB",35
"SPRINGTON","PE",35
"MAJOR","SK",35
"ASPEN COVE","NL",35
"CARLISLE","NB",35
"BALMORAL MILLS","NS",35
"KERRS MILL","NS",35
"CLAYHURST","BC",35
"GREEN OAKS","NS",35
"KEOMA","AB",35
"BANNON","NB",35
"WEST BLACK ROCK","NS",35
"TEMPLE","NB",35
"ARGYLE HEAD","NS",35
"SHINIMICAS","NS",35
"SAMBRO CREEK","NS",35
"OTTAWA BROOK","NS",35
"COGMAGUN","NS",35
"SOUTH BRANCH KINGS CO","NB",35
"WEIRDALE","SK",35
"WOODSIDE","NS",35
"OPAL","AB",35
"CARSONVILLE","NB",34
"PHILIPS HARBOUR","NS",34
"LILYDALE","NS",34
"GLENWILLIAM","PE",34
"DAKOTA PLAINS 6A","MB",34
"AROOSTOOK JUNCTION","NB",34
"EAST COLDSTREAM","NB",34
"ADMIRALS BEACH","NL",34
"STEEVES SETTLEMENT","NB",34
"JEWETTS MILLS","NB",34
"JAMESVILLE","NS",34
"CROSS LAKE 19","MB",34
"GRAND LAKE ROAD","NB",34
"CANNIFTON","ON",34
"MOUNT PISGAH","NB",34
"GULLIVERS COVE","NS",34
"HICKMANS HARBOUR","NL",34
"WESTERN BAY","NL",34
"THREE BROOKS","NB",34
"KINGFISHER LAKE","ON",34
"LOCUST HILL","ON",34
"LAKE ANNIS","NS",34
"PLAINFIELD","NS",34
"PINEHOUSE","SK",34
"LOUISVILLE","NS",34
"SETON PORTAGE","BC",34
"CHERRY BURTON","NB",34
"MCLAUGHLIN","AB",34
"ST-NICHOLAS","PE",34
"COPETOWN","ON",34
"MARY'S HARBOUR","NL",34
"BROOKLYN","PE",34
"OSNABURGH 63B","ON",34
"ST ISIDORE","AB",33
"WOODVALE","NS",33
"SENLAC","SK",33
"ORION","AB",33
"JIMTOWN","NS",33
"DOME CREEK","BC",33
"MOUNT BALDY","BC",33
"BAY FORTUNE","PE",33
"BELL ISLAND FRONT","NL",33
"BIRCHY HEAD","NS",33
"POINT TUPPER","NS",33
"BIDE ARM","NL",33
"STRATHCONA","PE",33
"NEW AVON","NB",33
"LOWER SHINIMICAS","NS",33
"MENDHAM","SK",33
"ELM HILL","NB",33
"ST ISIDORE DE BELLEVUE","SK",33
"KINGMAN","AB",33
"GLENVALE","NB",33
"KNIGHTVILLE","NB",33
"ROCHEVILLE","NB",33
"CAPE WOLFE","PE",33
"GOOD CORNER","NB",33
"NICTAUX WEST","NS",33
"GERMANTOWN","NB",33
"BLACKLAND RESTIGOUCHE CO","NB",33
"SCOUT LAKE","SK",33
"EAST WALLACE","NS",33
"UPTON","PE",33
"ROBERTA","NS",32
"LOON BAY","NL",32
"FOLLY MOUNTAIN","NS",32
"COTTAGE COVE","NS",32
"SALEM","NS",32
"MARGAREE","NS",32
"GASPEREAUX LAKE","NS",32
"CANOOSE","NB",32
"ST. JOSEPH'S","NL",32
"THE LODGE","NS",32
"DANVERS","NS",32
"FARMINGTON","PE",32
"BURNS LAKE 18","BC",32
"GORMANVILLE","NS",32
"PINEVIEW","BC",32
"GORDONDALE","AB",32
"NEW SALEM","NS",32
"NEW HARRIS","NS",32
"WESTHOLME","BC",32
"HILLTOP","NB",32
"ISKUT 6","BC",32
"TWO ISLANDS","NS",32
"NORTH COAST A","BC",32
"CHAPLEAU CREE FOX LAKE","ON",32
"JORDAN FERRY","NS",32
"RIVERDALE","NS",32
"LANGENBURG NO. 181","SK",32
"UPPER PEREAU","NS",32
"PORT DE GRAVE","NL",32
"DOBSON CORNER","NB",32
"LACADENA NO. 228","SK",32
"ELMSVILLE","NB",32
"HILLVIEW","NS",32
"PORT SHOREHAM","NS",32
"GITWINKSIHLKW","BC",32
"KAHNAWAKE 14","QC",32
"UPPER GRAND MIRA","NS",32
"GLEN VALLEY","PE",32
"SCEPTRE","SK",32
"MURCHYVILLE","NS",32
"LAC SEUL","ON",32
"SALMON RIVER.","NS",32
"MACKINNONS HARBOUR","NS",32
"KELLYS CROSS","PE",32
"STUART TOWN","NB",32
"MEDFORD","NB",32
"BRANCH","NL",32
"LESLIE BEACH","SK",32
"WALDECK WEST","NS",31
"STONEHURST NORTH","NS",31
"ERB SETTLEMENT","NB",31
"LOWER COVE","NB",31
"CAMPBELL SETTLEMENT YORK CO","NB",31
"SUNSET PRAIRIE","BC",31
"KENT JUNCTION","NB",31
"CALEDONIA","PE",31
"PORTAGE","NS",31
"DIVIDE","NB",31
"CARLETON VILLAGE","NS",31
"SAINT-BENOIT-DU-LAC","QC",31
"NEW ZEALAND","PE",31
"EAST CLIFFORD","NS",31
"WALLACE RIVER WEST","NS",31
"OLD AVON","NB",31
"POKIOK","NB",31
"KINGS COVE","NL",31
"MUNIAC","NB",31
"HOWLAND RIDGE","NB",31
"PIERCEMONT","NB",31
"BULL LAKE","NB",31
"ANDERSONVILLE","NB",31
"EAST VILLAGE","NS",31
"QUADEVILLE","ON",31
"RIVERTON","PE",31
"FAIRMONT","NS",31
"KINCARDINE","NB",31
"WANDERING RIVER","AB",31
"GILLIS LAKE","NS",31
"WINGS POINT","NL",31
"HILDA","AB",31
"SOUTH HEAD","NS",31
"TRAMPING LAKE","SK",30
"DEVON","NS",30
"FOND DU LAC 227","SK",30
"SPRAGUE","MB",30
"GUYSBOROUGH INTERVALE","NS",30
"BALD ROCK","NS",30
"SKOWNAN","MB",30
"WEST ADVOCATE","NS",30
"EDMONTON INTERNATIONAL AIRPORT","AB",30
"NORTH FORKS","NB",30
"PLEASANT VALLEY NO. 288","SK",30
"ESOWISTA 3","BC",30
"BUNYANS COVE","NL",30
"MCCALLUM SETTLEMENT","NS",30
"MONTREAL LAKE","SK",30
"BLUE BELL","NB",30
"BUBARTOWN","NB",30
"BOGGY CREEK","MB",30
"RECIPROCITY NO. 32","SK",30
"ROSENGART","MB",30
"HAY RIVER DENE 1","NT",30
"LOWER WASHABUCK","NS",30
"UPPER CHELSEA","NS",30
"TOPLEY LANDING","BC",30
"FRIEDENSRUH","MB",30
"NEWCOMBE NO. 260","SK",30
"HEAD BAY D'ESPOIR","NL",30
"COTEAU NO. 255","SK",30
"ALTONA","BC",30
"STONY RAPIDS","SK",30
"METEGHAN CENTRE","NS",30
"MATHER","MB",30
"THORNHILL","MB",30
"POST ROAD","NS",30
"NIPISSING, UNORGANIZED, SOUTH PART","ON",30
"HAMTOWN CORNER","NB",30
"BACCARO","NS",30
